exporter,importer,trade_weight
AIA,ROU,2.7799661560466447e-09
AIA,RUS,2.1832792042022487e-07
AIA,RWA,2.828148872544368e-09
AIA,SAU,5.41998422456523e-06
AIA,SDN,8.9864779583526e-08
AIA,SGP,5.131077468725895e-07
AIA,SLB,4.694030875556983e-09
AIA,SLV,4.2719906415219526e-08
AIA,STP,8.438282025386596e-10
AIA,SUR,4.809442356173257e-08
AIA,SVK,2.580343395737858e-07
AIA,SVN,3.5861347185403376e-08
AIA,SWE,7.223690439078474e-07
AIA,SYC,3.384205170136548e-08
AIA,SYR,4.185387884591751e-07
AIA,TGO,1.4804833374136796e-08
AIA,THA,1.560949153141308e-06
AIA,TJK,7.082950140756609e-07
AIA,TKM,2.535529685412005e-06
AIA,TLS,1.1843866699309436e-09
AIA,TTO,1.5509954950893806e-07
AIA,TUR,5.6224310974980597e-08
AIA,TWN,5.291758783510075e-07
AIA,TZA,5.3879292639325714e-08
AIA,UGA,4.117604136304117e-09
AIA,UKR,1.2503675358222462e-06
AIA,URY,1.316153365833094e-08
AIA,USA,1.0022311332334645e-05
AIA,VCT,1.3951112758973885e-07
AIA,VEN,2.291075556190166e-08
AIA,VNM,2.6906010915475958e-08
AIA,VUT,2.3358526880139665e-08
AIA,WSM,7.942580256182272e-09
AIA,YEM,3.118304686762594e-07
AIA,ZAF,3.935885209162237e-08
AIA,ZMB,6.312913390135915e-08
AIA,ZWE,2.6033802840654607e-08
ALB,AFG,9.56619905611327e-07
ALB,AGO,1.321526789828971e-06
ALB,AND,1.2095465528949564e-07
ALB,ANT,3.450311352640361e-07
ALB,ARE,1.8876158347598888e-05
ALB,ARG,7.071729479600529e-07
ALB,ARM,1.5619844444138336e-06
ALB,ATG,3.6224068981625956e-08
ALB,AUS,6.683126629353489e-06
ALB,AUT,6.917316003468243e-05
ALB,AZE,8.257675671498696e-07
ALB,BDI,1.6890448357520723e-07
ALB,BEL,1.6593482619758273e-05
ALB,BEN,1.8151699535838669e-07
ALB,BFA,1.7930710756820156e-07
ALB,BGD,1.93893011249805e-06
ALB,BGR,4.7529079553617666e-05
ALB,BHR,9.261886941157885e-07
ALB,BHS,6.835008440563141e-08
ALB,BIH,2.3054825920478358e-05
ALB,BLR,4.127478650088283e-06
ALB,BLZ,3.9233470638482437e-07
ALB,BMU,1.9195767213714645e-08
ALB,BOL,1.9341779600096603e-07
ALB,BRA,3.901835877454559e-06
ALB,BRB,2.5284006614945928e-08
ALB,BRN,4.077241651279846e-09
ALB,BWA,4.886635608782175e-09
ALB,CAF,2.0777598228368958e-07
ALB,CAN,1.3934276932202638e-05
ALB,CHE,6.042513675329754e-05
ALB,CHL,1.4508860546096748e-06
ALB,CHN,0.0002393585654902185
ALB,CIV,7.023268800958267e-07
ALB,CMR,1.8028766949750572e-07
ALB,COD,1.3552398077110248e-07
ALB,COG,1.6374287611156712e-07
ALB,COK,1.8202093285523382e-07
